epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.634,3.29263,3.75838,3.85615,0.04386,0.19333,0.03871,0.01244,2.5501,3.96437,2.9804,0.000475568,0.000475568,0.000475568
2,252.107,2.38489,2.97045,2.87236,0.30553,0.49333,0.27639,0.13886,1.69285,2.5639,2.25452,0.00048071,0.00048071,0.00048071
